timeymd,timehms,posturetype
2024.01.16,00:58:52,2
2024.01.16,00:59:00,2
2024.01.16,00:59:03,2
2024.01.16,00:59:06,0
2024.01.16,00:59:09,0
2024.01.16,00:59:13,0
2024.01.16,00:59:16,2
2024.01.16,01:06:32,0
2024.01.16,01:06:41,0
2024.01.16,01:06:44,2
2024.01.16,01:06:47,2
2024.01.16,01:06:50,0
2024.01.16,01:06:53,0
2024.01.16,01:06:56,0
2024.01.16,01:06:59,0
2024.01.16,02:07:50,0
2024.01.16,02:07:57,0
2024.01.16,02:08:00,0
2024.01.16,02:08:03,1
2024.01.16,02:09:34,2
2024.01.16,02:09:39,2
2024.01.16,02:09:42,1
2024.01.16,02:09:45,1
2024.01.16,02:09:49,1
2024.01.16,02:09:52,1
2024.01.16,02:14:04,0
2024.01.16,02:14:09,2
2024.01.16,02:14:13,2
2024.01.16,02:14:16,2
2024.01.16,02:14:19,2
2024.01.16,02:14:22,2
2024.01.16,02:14:25,2
2024.01.16,02:14:28,2
2024.01.16,02:14:31,1
2024.01.16,02:14:34,2
2024.01.16,02:14:37,1
2024.01.16,02:38:55,2
2024.01.16,02:39:02,2
2024.01.16,02:39:05,2
2024.01.16,02:39:33,2
2024.01.16,02:39:38,2
2024.01.16,02:39:41,2
2024.01.16,02:39:44,2
2024.01.16,02:39:48,2
2024.01.16,02:39:51,2
2024.01.16,02:39:54,2
2024.01.16,02:39:57,2
2024.01.16,02:40:00,2
2024.01.16,02:40:03,2
2024.01.16,02:40:06,2
2024.01.16,02:40:10,2
2024.01.16,02:40:13,1
2024.01.16,02:40:16,2
2024.01.16,02:40:19,2
2024.01.16,02:40:22,1
2024.01.16,02:40:25,2
2024.01.16,02:40:28,2
2024.01.16,02:40:31,2
2024.01.16,02:40:35,2
2024.01.16,02:40:38,2
2024.01.16,02:40:41,0
2024.01.16,02:40:44,2
2024.01.16,02:40:47,1
2024.01.16,02:40:50,0
2024.01.16,02:40:53,0
2024.01.16,02:40:56,0
2024.01.16,02:40:59,0
2024.01.16,02:41:02,0
2024.01.16,02:41:06,0
2024.01.16,02:41:09,2
2024.01.16,02:49:19,2
2024.01.16,02:49:26,1
2024.01.16,02:49:29,1
2024.01.16,02:49:32,0
2024.01.16,02:49:35,0
2024.01.16,02:49:38,0
2024.01.16,02:49:41,2
2024.01.16,02:49:44,2
2024.01.16,02:49:48,0
2024.01.16,02:49:51,0
2024.01.16,02:49:54,0
2024.01.16,02:49:57,1
2024.01.16,02:50:00,2
2024.01.16,02:50:03,1
